Year	CAPNP
1999	
2000	
2001	4.4
2002	3
2003	5.6
2004	2.6
2005	3.1
2006	3.7
2007	1.7
2008	3.1
2009	1.8
2010	2.5
2011	0.6
2012	
2013	
