Year	CAPRP
1999	
2000	
2001	-0.8
2002	0.0
2003	0.7
2004	-1.0
2005	-1.1
2006	1.6
2007	1.2
2008	1.5
2009	1.1
2010	1.1
2011	-2.4
2012	-1.8
