Year	CAPNP	LCNP
1999	1.99	
2000	2.37	2.8
2001	2.12	3.2
2002	2.33	3.1
2003	2.27	2.7
2004	2.18	2.5
2005	3.74	3.3
2006	2.74	3.1
2007	2.43	4.1
2008	2.39	5.6
2009	2.96	1.3
2010	0.68	-2.0
2011	0.42	-1.5
2012	0.17	-3.4
2013		
