Year	CAPNP	CPENP
1998		
1999	1.7	
2000	2.6	2.1
2001	3.1	3.7
2002	4.0	3.8
2003	2.0	1.9
2004	2.3	1.6
2005	2.4	1.7
2006	2.3	3.6
2007	1.9	3.4
2008	3.1	3.6
2009	3.1	1.2
2010	0.7	1.4
2011	2.4	3.1
2012	3.0	3.3
2013		
