Year	CAPRP
1999	0.0
2000	0.2
2001	3.4
2002	-0.7
2003	-3.8
2004	4.6
2005	1.8
2006	0.3
2007	-0.8
2008	1.8
2009	5.3
2010	4.1
2011	"No agreement"
2012	"No agreement"
