Year	CAPNP
1999	2.7
2000	3.3
2001	2.5
2002	1.9
2003	1.6
2004	1.6
2005	1.8
2006	2
2007	1.8
2008	3.1
2009	3
2010	2.1
2011	1.2
2012	1.4
2013	
