Year	CAPNP	LPNP
1999	3.3	-18.7
2000	3	0.6
2001	2.8	2.4
2002	2.6	2.0
2003	2.1	1.6
2004	1.8	1.9
2005	0.9	1.5
2006	1	3.5
2007	1.3	3.2
2008	1.2	0.6
2009	1.2	-4.1
2010	2.4	4.5
2011	1.9	2.4
2012	2.7	0.9
