Year	CAPNP
1999	1.0
2000	1.6
2001	2.6
2002	3.0
2003	1.5
2004	1.5
2005	1.8
2006	2.0
2007	2.0
2008	2.6
2009	3.4
2010	-0.2
2011	2.5
2012	3.4
2013	2.1
