Year	CAPNP
1999	1.2
2000	2.9
2001	2.5
2002	3.6
2003	1.9
2004	1.6
2005	1.7
2006	2.2
2007	1.9
2008	3.3
2009	3.2
2010	-0.1
2011	2.5
2012	3.2
2013	2.2
