Year	CAPRP
1999	
2000	
2001	-0.8
2002	-0.4
2003	0.5
2004	0.2
2005	-1.1
2006	-0.4
2007	0.3
2008	0.6
2009	1.5
2010	0.2
2011	-1.4
2012	-1.3
