Year	CAPRP	LCRP
1999	1.1	
2000	0.4	-0.6
2001	1.0	-1.0
2002	0.3	-1.2
2003	0.7	-1.4
2004	0.5	-1.5
2005	0.7	-1.0
2006	0.4	-1.0
2007	1.0	0.8
2008	-0.2	3.2
2009	2.4	1.2
2010	0.1	-2.4
2011	0.1	-2.4
2012	-0.9	-3.5
2013		
