Year	CAPRP	LCRP	LPRP
1998			
1999	2.8	4.5	-16.0
2000	-1.8	1.5	3.2
2001	2.4	-0.4	3.9
2002	3.8	0.1	4.6
2003		0.4	3.9
2004	0.7	-0.9	5.8
2005	2.4	0.2	4.3
2006	0.5	-1.4	3.4
2007	-1.1	0.7	-0.6
2008	0.2	-0.9	2.7
2009	0.0	-0.7	-4.4
2010		-3.3	0.6
2011	1.0	-1.3	1.2
2012		3.2	-1.2
2013			
