Year	CAPNP
1999	1.9
2000	1.5
2001	3.3
2002	3.6
2003	2.4
2004	2.3
2005	1.9
2006	3.3
2007	1.7
2008	4.2
2009	3.4
2010	0.1
2011	3.2
2012	2.9
2013	2.2
