Year	LPNP
1999	-32.2
2000	5.1
2001	3.7
2002	3.9
2003	2.7
2004	4.2
2005	3.7
2006	3.7
2007	5.3
2008	1.1
2009	0.6
2010	4.2
2011	0.5
2012	1.0
