Year	LCRP
1998	
1999	
2000	-3.5
2001	0.0
2002	-3.8
2003	0.8
2004	2.0
2005	2.0
2006	0.1
2007	3.3
2008	9.8
2009	0.9
2010	-4.3
2011	-3.5
2012	-1.7
