Year	CAPRP
1999	1.5
2000	1.5
2001	4.2
2002	1.0
2003	
2004	3.5
2005	2.4
2006	2.6
2007	2.6
2008	2.7
2009	5.6
2010	-4.5
2011	-3.0
2012	-1.0
