Year	CAPRP
1999	
2000	1.3
2001	0.1
2002	0.7
2003	0.1
2004	2.0
2005	
2006	0.5
2007	2.4
2008	3.0
2009	4.3
2010	1.8
2011	0.1
2012	-1.7
	
