Year	CAPNP	LPNP
1999		
2000		6.5
2001		8.2
2002		4.2
2003		5.5
2004		9.3
2005		4.2
2006	4.3	6.2
2007		7.0
2008		2.7
2009		-0.6
2010		2.1
2011	2.5	0.8
2012	2.3	-0.3
2013		
