Year	CAPNI	LCNI
1999		101.9
2000		104.8
2001		108.1
2002		111.5
2003		114.6
2004		117.4
2005		121.3
2006		125.1
2007		130.3
2008		137.6
2009		139.4
2010		136.7
2011		134.7
2012		130.1
2013		
