Year	CAPRP	LCRP
1998		
1999	2.8	4.5
2000	-1.8	1.5
2001	2.4	-0.4
2002	3.8	0.1
2003		0.4
2004	0.7	-0.9
2005	2.4	0.2
2006	0.5	-1.4
2007	-1.1	0.7
2008	0.2	-0.9
2009	0.0	-0.7
2010		-3.3
2011	1.0	-1.3
2012		3.2
2013		
